,Unnamed: 0,HCPCS Code,Description,AETNA,CIGNA,HUMANA (Current),HUMANA (2020),HUMANA (2019),UNITED,>90% Agree,>85% Agree,>55% Agree,>51% Agree,WELLCARE BINARY,AETNA BINARY,Num Insurers That Require PR,At Least One Require Prior Auth,All Require Prior Auth,ndc_code,j_code,drug_id,HCPCS Category,sub_category_id,multum_category_id,multum_category_name,sub_category_name,CPT Category,PERCENT OF SPENDING,Category,Therapeutic_area
12668,12668,192,Anesth facial bone surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12669,12669,210,Anesth cranial surg nos,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12670,12670,211,Anesth cran surg hemotoma,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12671,12671,212,Anesth skull drainage,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12672,12672,214,Anesth skull drainage,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12673,12673,215,Anesth skull repair/fract,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12674,12674,216,Anesth head vessel surgery,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12675,12675,218,Anesth special head surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12676,12676,220,Anesth intrcrn nerve,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12677,12677,222,Anesth head nerve surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12678,12678,300,Anesth head/neck/ptrunk,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12679,12679,320,Anesth neck organ 1yr/>,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12680,12680,322,Anesth biopsy of thyroid,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12681,12681,326,Anesth larynx/trach < 1 yr,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12682,12682,350,Anesth neck vessel surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12683,12683,352,Anesth neck vessel surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12684,12684,400,Anesth skin ext/per/atrunk,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12685,12685,402,Anesth surgery of breast,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12686,12686,404,Anesth surgery of breast,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12687,12687,406,Anesth surgery of breast,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12688,12688,410,Anesth correct heart rhythm,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12689,12689,450,Anesth surgery of shoulder,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12690,12690,454,Anesth collar bone biopsy,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12691,12691,470,Anesth removal of rib,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12692,12692,472,Anesth chest wall repair,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12693,12693,474,Anesth surgery of rib,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12694,12694,500,Anesth esophageal surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12695,12695,520,Anesth chest procedure,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12696,12696,522,Anesth chest lining biopsy,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12697,12697,524,Anesth chest drainage,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12698,12698,528,Anes mediascpy & dx thorscpy,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12699,12699,529,Anes medscpy&thorscpy 1 lung,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12700,12700,530,Anesth pacemaker insertion,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12701,12701,532,Anesth vascular access,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12702,12702,534,Anesth cardioverter/defib,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12703,12703,537,Anesth cardiac electrophys,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12704,12704,539,Anesth trach-bronch reconst,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12705,12705,540,Anesth chest surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12706,12706,541,Anesth one lung ventilation,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12707,12707,542,Anesthesia removal pleura,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12708,12708,546,Anesth lung chest wall surg,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12709,12709,548,Anesth trachea bronchi surg,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12710,12710,550,Anesth sternal debridement,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12711,12711,560,Anesth heart surg w/o pump,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12712,12712,561,Anesth heart surg <1 yr,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12713,12713,562,Anesth hrt surg w/pmp age 1+,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12714,12714,563,Anesth heart surg w/arrest,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12715,12715,566,Anesth cabg w/o pump,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12716,12716,567,Anesth cabg w/pump,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12717,12717,580,Anesth heart/lung transplnt,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12718,12718,600,Anesth spine cord surgery,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12719,12719,604,Anesth sitting procedure,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12720,12720,620,Anesth spine cord surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12721,12721,625,Anes spine tranthor w/o vent,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12722,12722,626,Anes spine transthor w/vent,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12723,12723,630,Anesth spine cord surgery,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12724,12724,632,Anesth removal of nerves,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12725,12725,635,Anesth lumbar puncture,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12726,12726,640,Anesth spine manipulation,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12727,12727,670,Anesth spine cord surgery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12728,12728,700,Anesth abdominal wall surg,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12729,12729,702,Anesth for liver biopsy,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12732,12732,730,Anesth abdominal wall surg,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12733,12733,731,Anes upr gi ndsc px nos,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12734,12734,732,Anes upr gi ndsc px ercp,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12735,12735,750,Anesth repair of hernia,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12736,12736,752,Anesth repair of hernia,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12737,12737,754,Anesth repair of hernia,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12738,12738,756,Anesth repair of hernia,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12740,12740,770,Anesth blood vessel repair,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12741,12741,790,Anesth surg upper abdomen,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12742,12742,792,Anesth hemorr/excise liver,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12743,12743,794,Anesth pancreas removal,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12744,12744,796,Anesth for liver transplant,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12745,12745,797,Anesth surgery for obesity,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12746,12746,800,Anesth abdominal wall surg,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12747,12747,802,Anesth fat layer removal,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12748,12748,811,Anes lwr intst ndsc nos,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12749,12749,812,Anes lwr intst scr colsc,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12750,12750,813,Anes upr lwr gi ndsc px,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12751,12751,820,Anesth abdominal wall surg,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12752,12752,830,Anesth repair of hernia,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12753,12753,832,Anesth repair of hernia,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12754,12754,834,Anesth hernia repair < 1 yr,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12755,12755,836,Anesth hernia repair preemie,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12756,12756,840,Anesth surg lower abdomen,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12757,12757,842,Anesth amniocentesis,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12758,12758,844,Anesth pelvis surgery,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12759,12759,846,Anesth hysterectomy,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12760,12760,848,Anesth pelvic organ surg,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12761,12761,851,Anesth tubal ligation,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12762,12762,860,Anesth surgery of abdomen,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
12763,12763,862,Anesth kidney/ureter surg,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) anesthesia,,Surgery and anesthesia,
